freq,Pn,Ps
0.646,1,5
0.6467,7,6
0.6475,5,11
0.6483,4,3
0.649,3,13
0.6498,6,11
0.6505,4,5
0.6513,3,5
0.652,5,8
0.6528,5,4
0.6536,4,6
0.6543,10,6
0.6551,6,8
0.6558,4,5
0.6566,9,6
0.6573,6,6
0.6581,3,6
0.6589,4,7
0.6596,2,7
0.6604,8,12
0.6611,8,4
0.6619,3,3
0.6626,4,4
0.6634,5,4
0.6641,4,5
0.6649,6,4
0.6657,6,9
0.6664,8,10
0.6672,2,3
0.6679,2,7
0.6687,3,8
0.6694,5,8
0.6702,8,7
0.671,4,4
0.6717,5,7
0.6725,6,5
0.6732,7,6
0.674,6,6
0.6747,6,8
0.6755,5,3
0.6762,6,6
0.677,4,8
0.6778,2,16
0.6785,4,7
0.6793,6,10
0.68,2,6
0.6808,8,7
0.6815,6,7
0.6823,1,6
0.6831,7,7
0.6838,4,1
0.6846,2,5
0.6853,7,5
0.6861,5,7
0.6868,3,7
0.6876,7,7
0.6884,8,10
0.6891,4,3
0.6899,5,3
0.6906,3,8
0.6914,4,10
0.6921,8,10
0.6929,7,7
0.6936,9,6
0.6944,7,6
0.6952,7,6
0.6959,5,2
0.6967,8,3
0.6974,6,9
0.6982,2,5
0.6989,5,12
0.6997,3,3
0.7005,4,5
0.7012,5,12
0.702,8,6
0.7027,4,7
0.7035,10,10
0.7042,3,6
0.705,6,6
0.7057,4,8
0.7065,1,12
0.7073,7,8
0.708,6,5
0.7088,3,6
0.7095,9,5
0.7103,3,5
0.711,2,8
0.7118,5,4
0.7126,2,3
0.7133,3,9
0.7141,7,6
0.7148,8,6
0.7156,3,7
0.7163,4,7
0.7171,1,12
0.7179,3,4
0.7186,6,10
0.7194,2,13
0.7201,9,6
0.7209,4,10
0.7216,9,8
0.7224,1,6
0.7231,8,4
0.7239,9,3
0.7247,8,8
0.7254,6,2
0.7262,4,4
0.7269,1,4
0.7277,6,10
0.7284,6,11
0.7292,5,5
0.73,2,7
0.7307,4,4
0.7315,3,8
0.7322,4,5
0.733,2,7
0.7337,5,5
0.7345,8,9
0.7352,6,3
0.736,5,3
0.7368,4,2
0.7375,5,6
0.7383,5,11
0.739,7,6
0.7398,1,12
0.7405,7,8
0.7413,7,4
0.7421,3,8
0.7428,7,3
0.7436,2,8
0.7443,4,9
0.7451,2,9
0.7458,4,5
0.7466,3,4
0.7474,1,9
0.7481,5,4
0.7489,4,5
0.7496,3,4
0.7504,5,4
0.7511,3,8
0.7519,3,10
0.7526,4,3
0.7534,5,6
0.7542,5,6
0.7549,5,4
0.7557,4,6
0.7564,6,12
0.7572,2,5
0.7579,3,13
0.7587,2,4
0.7595,9,8
0.7602,6,7
0.761,4,10
0.7617,6,11
0.7625,4,3
0.7632,8,5
0.764,3,4
0.7648,12,4
0.7655,2,4
0.7663,4,4
0.767,5,2
0.7678,3,8
0.7685,3,5
0.7693,8,5
0.77,7,8
0.7708,2,7
0.7716,4,3
0.7723,6,6
0.7731,8,4
0.7738,2,8
0.7746,3,5
0.7753,1,6
0.7761,4,6
0.7769,3,3
0.7776,2,5
0.7784,12,10
0.7791,4,6
0.7799,7,5
0.7806,3,6
0.7814,2,5
0.7821,6,7
0.7829,6,5
0.7837,4,2
0.7844,5,8
0.7852,7,5
0.7859,7,3
0.7867,2,5
0.7874,3,5
0.7882,6,7
0.789,5,9
0.7897,4,7
0.7905,3,7
0.7912,3,2
0.792,2,3
0.7927,6,4
0.7935,5,5
0.7943,6,12
0.795,2,7
0.7958,1,3
0.7965,7,7
0.7973,1,8
0.798,5,9
0.7988,4,8
0.7995,9,8
0.8003,9,3
0.8011,2,9
0.8018,2,8
0.8026,7,5
0.8033,5,1
0.8041,1,7
0.8048,7,7
0.8056,2,3
0.8064,4,4
0.8071,8,4
0.8079,5,5
0.8086,5,8
0.8094,3,7
0.8101,3,9
0.8109,3,4
0.8116,2,2
0.8124,5,3
0.8132,4,1
0.8139,2,11
0.8147,4,4
0.8154,1,6
0.8162,8,6
0.8169,4,7
0.8177,3,5
0.8185,6,4
0.8192,4,5
0.82,2,1
0.8207,3,6
0.8215,3,5
0.8222,2,6
0.823,7,3
0.8238,6,5
0.8245,6,8
0.8253,4,6
0.826,6,6
0.8268,6,5
0.8275,3,4
0.8283,2,7
0.829,5,13
0.8298,1,8
0.8306,5,7
0.8313,3,5
0.8321,3,9
0.8328,3,3
0.8336,4,7
0.8343,3,7
0.8351,4,3
0.8359,3,12
0.8366,4,8
0.8374,1,3
0.8381,4,11
0.8389,5,7
0.8396,4,4
0.8404,2,5
0.8411,6,5
0.8419,4,8
0.8427,5,8
0.8434,2,7
0.8442,6,4
0.8449,5,6
0.8457,6,7
0.8464,2,4
0.8472,6,5
0.848,7,7
0.8487,2,3
0.8495,5,5
0.8502,5,12
0.851,7,7
0.8517,4,11
0.8525,4,5
0.8533,4,9
0.854,7,6
0.8548,7,10
0.8555,6,2
0.8563,5,6
0.857,3,2
0.8578,4,6
0.8585,4,8
0.8593,4,5
0.8601,3,5
0.8608,10,9
0.8616,2,4
0.8623,3,7
0.8631,4,6
0.8638,3,10
0.8646,6,2
0.8654,4,6
0.8661,4,7
0.8669,2,8
0.8676,2,6
0.8684,6,6
0.8691,4,6
0.8699,4,7
0.8707,8,8
0.8714,5,5
0.8722,2,6
0.8729,5,7
0.8737,3,6
0.8744,2,8
0.8752,4,9
0.8759,3,5
0.8767,3,6
0.8775,2,5
0.8782,3,10
0.879,4,5
0.8797,4,8
0.8805,1,5
0.8812,7,5
0.882,3,10
0.8828,3,5
0.8835,2,6
0.8843,4,5
0.885,6,10
0.8858,4,4
0.8865,8,5
0.8873,2,7
0.888,4,10
0.8888,7,3
0.8896,2,3
0.8903,9,7
0.8911,12,10
0.8918,3,8
0.8926,4,10
0.8933,7,3
0.8941,5,7
0.8949,2,6
0.8956,5,4
0.8964,6,7
0.8971,2,6
0.8979,4,8
0.8986,3,5
0.8994,7,9
0.9002,2,9
0.9009,4,6
0.9017,6,11
0.9024,5,10
0.9032,5,6
0.9039,4,2
0.9047,7,7
0.9054,8,7
0.9062,2,6
0.907,7,8
0.9077,5,5
0.9085,3,7
0.9092,5,6
0.91,9,7
0.9107,1,9
0.9115,2,2
0.9123,4,7
0.913,4,4
0.9138,9,5
0.9145,2,8
0.9153,8,7
0.916,6,9
0.9168,4,4
0.9175,5,7
0.9183,3,10
0.9191,3,12
0.9198,7,8
0.9206,7,7
0.9213,8,10
0.9221,7,7
0.9228,8,7
0.9236,2,7
0.9244,5,10
0.9251,10,5
0.9259,5,6
0.9266,8,8
0.9274,4,8
0.9281,6,7
0.9289,2,10
0.9297,5,11
0.9304,7,9
0.9312,3,3
0.9319,4,8
0.9327,5,3
0.9334,8,10
0.9342,10,12
0.9349,9,5
0.9357,6,14
0.9365,4,6
0.9372,9,9
0.938,2,12
0.9387,7,7
0.9395,9,4
0.9402,6,8
0.941,4,12
0.9418,4,10
0.9425,4,6
0.9433,7,3
0.944,8,9
0.9448,8,11
0.9455,6,18
0.9463,11,8
0.947,4,19
0.9478,5,12
0.9486,10,8
0.9493,9,9
0.9501,6,11
0.9508,8,6
0.9516,9,12
0.9523,9,8
0.9531,4,11
0.9539,7,13
0.9546,11,11
0.9554,6,12
0.9561,9,16
0.9569,5,11
0.9576,9,11
0.9584,7,8
0.9592,7,10
0.9599,8,8
0.9607,2,18
0.9614,10,13
0.9622,1,8
0.9629,8,11
0.9637,11,12
0.9644,7,18
0.9652,13,8
0.966,9,8
0.9667,12,10
0.9675,9,10
0.9682,8,16
0.969,11,15
0.9697,12,15
0.9705,12,13
0.9713,7,13
0.972,9,18
0.9728,16,14
0.9735,13,9
0.9743,7,6
0.975,2,18
0.9758,9,12
0.9766,9,21
0.9773,13,14
0.9781,12,14
0.9788,17,16
0.9796,14,10
0.9803,11,22
0.9811,17,15
0.9818,15,18
0.9826,13,19
0.9834,14,15
0.9841,17,19
0.9849,24,18
0.9856,20,20
0.9864,10,24
0.9871,10,20
0.9879,16,20
0.9887,16,17
0.9894,19,26
0.9902,10,29
0.9909,18,32
0.9917,20,25
0.9924,24,31
0.9932,35,35
0.9939,23,41
0.9947,47,44
0.9955,42,47
0.9962,38,56
0.997,65,74
0.9977,78,93
0.9985,110,190
0.9992,335,548
,187948,141220
,,
,63636529,31771018
